nombre	sin_categoria	sin_aromas	sin_ocasiones	sin_descripcion	sin_imagen
Summer Hammer Lorenzo Pazzaglia	X	X	X		
Sweet Like Candy by Ariana Grande	X	X	X		
Swiss Army	X	X	X		
Temptation by Yanbal	X	X	X		
Thank U, Next By Ariana Grande	X	X	X		
Tommy Girl by Tommy Hilfiger	X	X	X		
Toy 2 Bubble Gum	X	X	X		
Toy 2 By Moschino	X	X	X		
Toy Boy By Moschino	X	X	X		
Valentino Donna Purple Melancholia	X	X	X		
Valentino Uomo Born In Roma Purple Melancholia	X	X	X		
Vanilla Freak	X	X	X		
Versace Pour Homme Dylan Blue	X	X	X		
Viking Kashmir	X	X	X		
XJ 1861 Naxos Xerjoff	X	X	X		
Yara By Lattafa	X	X	X		
Yara Candy By Lattafa	X	X	X		
Yara Moi	X	X	X		
Yara Tous	X	X	X		
Yum Yum by Armaf	X	X	X		
Yves Saint Laurent	X	X	X		
